Date,Ticker,Open,High,Low,Close,Volume,ATR_Stop,Pos,Buy,Sell,MA1,MA2
2026-01-09,NVDA,191.75999450683594,193.6300048828125,183.6699981689453,184.86000061035156,817720000.0,184.86000061035156,0.0,False,False,,
2026-01-16,NVDA,183.22000122070312,190.44000244140625,180.8000030517578,186.22999572753906,851839300.0,176.30198974609374,0.0,True,False,,
2026-01-23,NVDA,181.89999389648438,189.60000610351562,177.61000061035156,187.6699981689453,706111000.0,177.53579223632812,0.0,False,False,,
2026-01-30,NVDA,187.16000366210938,194.49000549316406,185.6999969482422,191.1300048828125,768317800.0,181.13021868896485,0.0,False,False,,
2026-02-06,NVDA,187.1999969482422,190.3000030517578,171.02999877929688,185.41000366210938,1014486900.0,181.13021868896485,0.0,False,False,,
2026-02-13,NVDA,184.25999450683594,193.66000366210938,181.58999633789062,182.80999755859375,829165400.0,181.13021868896485,0.0,False,False,,
2026-02-20,NVDA,181.75,190.3699951171875,179.17999267578125,189.82000732421875,632002800.0,181.13021868896485,0.0,False,False,,
2026-02-27,NVDA,191.39999389648438,197.6300048828125,176.3800048828125,177.19000244140625,1269789900.0,189.32592342112426,-1.0,False,True,,
2026-03-06,NVDA,175.00999450683594,184.6999969482422,174.63999938964844,177.82000732421875,952727500.0,189.32592342112426,-1.0,False,False,,
2026-03-13,NVDA,176.8300018310547,187.6199951171875,175.55999755859375,180.25,818363600.0,189.32592342112426,-1.0,False,False,,
2026-03-20,NVDA,182.97000122070312,188.8800048828125,171.72000122070312,172.6999969482422,968780300.0,185.1633432911871,-1.0,False,False,,
2026-03-27,NVDA,177.25999450683594,181.22000122070312,167.00999450683594,167.52000427246094,875471100.0,180.15801665249808,-1.0,False,False,,
2026-04-03,NVDA,168.77999877929688,177.49000549316406,164.27000427246094,177.38999938964844,723083500.0,180.15801665249808,-1.0,False,False,,
2026-04-10,NVDA,177.16000366210938,190.0,173.66000366210938,188.6300048828125,664719900.0,175.56941511133007,1.0,True,False,,
2026-04-17,NVDA,186.02999877929688,201.6999969482422,185.74000549316406,201.67999267578125,774630900.0,188.32946273593925,1.0,False,False,,
2026-04-24,NVDA,199.97999572753906,210.9499969482422,197.22000122070312,208.27000427246094,662523900.0,194.88152775384924,1.0,False,False,,
2026-05-01,NVDA,209.64999389648438,216.8300018310547,197.1199951171875,198.4499969482422,845045800.0,194.88152775384924,1.0,False,False,,
2026-05-08,NVDA,199.5,217.8000030517578,194.74000549316406,215.1999969482422,731866800.0,200.27543060805928,1.0,False,False,,
2026-05-15,NVDA,214.0399932861328,236.5399932861328,213.88999938964844,225.32000732421875,832028300.0,209.6228982284057,1.0,False,False,,
2026-05-22,NVDA,229.8699951171875,230.0,214.8000030517578,215.3300018310547,844088200.0,209.6228982284057,1.0,False,False,198.19250106811523,183.31650009155274
2026-05-29,NVDA,216.5399932861328,218.17999267578125,208.77999877929688,211.13999938964844,788210400.0,209.6228982284057,1.0,False,False,199.42000045776368,184.5720001220703
2026-06-05,NVDA,215.72999572753906,232.27999877929688,204.3300018310547,205.10000610351562,955798300.0,221.41539753267875,-1.0,False,True,201.5120002746582,185.74850006103514
2026-06-12,NVDA,210.17999267578125,211.39999389648438,199.33999633789062,205.19000244140625,751726900.0,221.07985448351246,-1.0,False,False,202.60199966430665,186.83499984741212
2026-06-19,NVDA,208.9199981689453,212.7100067138672,203.0800018310547,210.69000244140625,645266300.0,221.07985448351246,-1.0,False,False,203.51299972534179,187.70400009155273
2026-06-26,NVDA,211.44000244140625,213.99000549316406,191.22000122070312,192.52999877929688,756202400.0,208.54447980010212,-1.0,False,False,204.6974998474121,188.71350021362304
2026-07-03,NVDA,193.85000610351562,200.6300048828125,189.8000030517578,194.8300018310547,603528700.0,208.54447980010212,-1.0,False,False,205.04599990844727,189.1240005493164
2026-01-09,AAPL,270.6400146484375,271.510009765625,255.6999969482422,259.3699951171875,236725400.0,259.3699951171875,0.0,False,False,,
2026-01-16,AAPL,259.1600036621094,261.82000732421875,254.92999267578125,255.52999877929688,242545400.0,270.44801177978513,0.0,False,True,,
2026-01-23,AAPL,252.72999572753906,254.7899932861328,243.4199981689453,248.0399932861328,216306500.0,262.6772050476074,0.0,False,False,,
2026-01-30,AAPL,251.47999572753906,261.95001220703125,249.8000030517578,259.4800109863281,306601900.0,262.6772050476074,0.0,False,False,,
2026-02-06,AAPL,260.0299987792969,280.9100036621094,259.2099914550781,278.1199951171875,332284600.0,262.84195066680905,1.0,True,False,,
2026-02-13,AAPL,277.9100036621094,280.17999267578125,255.4499969482422,255.77999877929688,268299500.0,272.00323835739135,-1.0,False,True,,
