index,Date,Ticker,Open,High,Low,Close,Volume,ATR_Stop,Pos,Buy,Sell,MA1,MA2
0,2026-01-09,AAPL,270.6400146484375,271.510009765625,255.6999969482422,259.3699951171875,236725400.0,259.3699951171875,0.0,False,False,,
1,2026-01-16,AAPL,259.1600036621094,261.82000732421875,254.92999267578125,255.52999877929688,242545400.0,270.44801177978513,0.0,False,True,,
2,2026-01-23,AAPL,252.72999572753906,254.7899932861328,243.4199981689453,248.0399932861328,216306500.0,262.6772050476074,0.0,False,False,,
3,2026-01-30,AAPL,251.47999572753906,261.95001220703125,249.8000030517578,259.4800109863281,306601900.0,262.6772050476074,0.0,False,False,,
4,2026-02-06,AAPL,260.0299987792969,280.9100036621094,259.2099914550781,278.1199951171875,332284600.0,262.84195066680905,1.0,True,False,,
5,2026-02-13,AAPL,277.9100036621094,280.17999267578125,255.4499969482422,255.77999877929688,268299500.0,272.00323835739135,-1.0,False,True,,
6,2026-02-20,AAPL,258.04998779296875,266.82000732421875,255.5399932861328,264.5799865722656,165588200.0,272.00323835739135,-1.0,False,False,,
7,2026-02-27,AAPL,263.489990234375,276.1099853515625,262.8900146484375,264.17999267578125,222748700.0,272.00323835739135,-1.0,False,False,,
8,2026-03-06,AAPL,262.4100036621094,266.5299987792969,254.3699951171875,257.4599914550781,210978500.0,272.00323835739135,-1.0,False,False,,
9,2026-03-13,AAPL,255.69000244140625,262.4800109863281,249.52000427246094,250.1199951171875,172752200.0,265.0475942556815,-1.0,False,False,,
10,2026-03-20,AAPL,252.11000061035156,255.1300048828125,246.0,247.99000549316406,223388900.0,262.33784520608987,-1.0,False,False,,
11,2026-03-27,AAPL,253.97000122070312,257.0,248.07000732421875,248.8000030517578,203871800.0,262.33784520608987,-1.0,False,False,,
12,2026-04-03,AAPL,250.07000732421875,256.17999267578125,245.50999450683594,255.9199981689453,160393100.0,262.33784520608987,-1.0,False,False,,
13,2026-04-10,AAPL,256.510009765625,262.19000244140625,245.6999969482422,260.4800109863281,191923800.0,262.33784520608987,-1.0,False,False,,
14,2026-04-17,AAPL,259.7300109863281,272.29998779296875,256.6600036621094,270.2300109863281,239278200.0,256.2471959919739,1.0,True,False,,
15,2026-04-24,AAPL,270.3299865722656,275.7699890136719,265.3999938964844,271.05999755859375,201605900.0,257.4384645519562,1.0,False,False,,
16,2026-05-01,AAPL,266.0899963378906,287.2200012207031,265.07000732421875,280.1400146484375,283297200.0,265.6656355528153,1.0,False,False,,
17,2026-05-08,AAPL,279.6600036621094,294.760009765625,274.8599853515625,293.32000732421875,252233300.0,278.3030636967525,1.0,False,False,,
18,2026-05-15,AAPL,291.9800109863281,303.20001220703125,290.2300109863281,300.2300109863281,230867400.0,285.41776159953815,1.0,False,False,,
19,2026-05-22,AAPL,300.239990234375,311.3999938964844,294.9100036621094,308.82000732421875,201591700.0,293.8399838526703,1.0,False,False,272.91250076293943,258.66199951171876
20,2026-05-29,AAPL,309.55999755859375,315.0,307.6700134277344,312.05999755859375,216678600.0,297.84497777697356,1.0,False,False,275.0870002746582,261.26050033569334
21,2026-06-05,AAPL,309.6300048828125,316.94000244140625,305.0199890136719,307.3399963378906,254400900.0,297.84497777697356,1.0,False,False,277.8430000305176,263.7650001525879
22,2026-06-12,AAPL,308.739990234375,317.3999938964844,287.3800048828125,291.1300048828125,282165800.0,306.71897101578816,-1.0,False,True,280.97350006103517,265.96300048828124
23,2026-06-19,AAPL,294.1199951171875,302.07000732421875,291.70001220703125,298.010009765625,214314300.0,306.71897101578816,-1.0,False,False,282.97949981689453,268.0580009460449
24,2026-06-26,AAPL,297.30999755859375,302.4200134277344,273.75,283.7799987792969,518761900.0,300.2586629095071,-1.0,False,False,284.0550003051758,268.78500137329104
25,2026-07-03,AAPL,286.7300109863281,309.4200134277344,279.8500061035156,308.6300048828125,257044200.0,290.8422064332014,1.0,True,False,285.5170013427734,270.0050018310547
0,2026-01-09,MA,559.6199951171875,589.6699829101562,558.4500122070312,575.5399780273438,16186300.0,575.5399780273438,0.0,False,False,,
1,2026-01-16,MA,564.030029296875,567.8800048828125,533.7000122070312,539.489990234375,23653500.0,571.7719604492188,0.0,False,True,,
2,2026-01-23,MA,530.5999755859375,537.4000244140625,520.1599731445312,524.739990234375,19154200.0,555.7267651367188,0.0,False,False,,
3,2026-01-30,MA,526.7100219726562,544.239990234375,518.27001953125,538.7899780273438,23968700.0,555.7267651367188,0.0,False,False,,
4,2026-02-06,MA,540.989990234375,561.9199829101562,539.7999877929688,548.739990234375,23159300.0,555.7267651367188,0.0,False,False,,
5,2026-02-13,MA,543.7100219726562,547.0,516.02001953125,518.3599853515625,17507900.0,548.4066093920899,0.0,False,False,,
6,2026-02-20,MA,515.0,530.760009765625,515.0,526.4099731445312,12601800.0,548.4066093920899,0.0,False,False,,
7,2026-02-27,MA,520.469970703125,522.719970703125,490.0,517.2100219726562,25709000.0,546.6071856388428,0.0,False,False,,
8,2026-03-06,MA,509.4800109863281,526.7999877929688,507.3399963378906,522.3400268554688,17933600.0,546.6071856388428,0.0,False,False,,
9,2026-03-13,MA,516.27001953125,520.8900146484375,495.3999938964844,497.989990234375,14691400.0,526.2470953308416,0.0,False,False,,
10,2026-03-20,MA,498.6199951171875,516.9600219726562,487.30999755859375,496.32000732421875,18790700.0,524.7164043524449,0.0,False,False,,
11,2026-03-27,MA,506.04998779296875,507.0400085449219,480.5,484.239990234375,15645500.0,512.4507484142707,0.0,False,False,,
12,2026-04-03,MA,488.0299987792969,503.0,485.6499938964844,493.44000244140625,15580200.0,512.4507484142707,0.0,False,False,,
13,2026-04-10,MA,493.75,511.82000732421875,491.17999267578125,498.6600036621094,16078100.0,512.4507484142707,0.0,False,False,,
14,2026-04-17,MA,496.2300109863281,527.469970703125,495.0,521.2999877929688,15558100.0,494.11018590013725,1.0,True,False,,
15,2026-04-24,MA,520.760009765625,524.47998046875,495.6300048828125,504.1700134277344,13367800.0,494.11018590013725,1.0,False,False,,
16,2026-05-01,MA,500.760009765625,534.2100219726562,492.1499938964844,495.4599914550781,22807400.0,494.11018590013725,1.0,False,False,,
17,2026-05-08,MA,495.0,507.2900085449219,489.7300109863281,495.4800109863281,22107400.0,494.11018590013725,1.0,False,False,,
18,2026-05-15,MA,495.0,506.30999755859375,488.010009765625,494.20001220703125,16579600.0,494.11018590013725,1.0,False,False,,
19,2026-05-22,MA,491.489990234375,512.9000244140625,490.07000732421875,498.5400085449219,15504500.0,494.11018590013725,1.0,False,False,530.0380004882812,504.46850128173827
20,2026-05-29,MA,496.0,500.1099853515625,486.3500061035156,493.9800109863281,14399400.0,519.0860294406506,-1.0,False,True,525.5600006103516,500.8635009765625
21,2026-06-05,MA,494.25,497.1300048828125,464.5199890136719,491.0799865722656,23160200.0,516.9364047680699,-1.0,False,False,522.0225006103516,497.40449981689454
22,2026-06-12,MA,486.760009765625,498.79998779296875,482.0,489.9800109863281,17426600.0,514.9307861418489,-1.0,False,False,520.0924987792969,495.49650115966796
23,2026-06-19,MA,490.5,504.6400146484375,486.6600036621094,489.7900085449219,17496300.0,514.0437072835234,-1.0,False,False,518.1125,493.91600036621094
24,2026-06-26,MA,488.1600036621094,504.79998779296875,483.1400146484375,499.0199890136719,24424600.0,514.0437072835234,-1.0,False,False,515.2565002441406,491.0830017089844
25,2026-07-03,MA,502.5,539.6300048828125,502.5,539.3900146484375,17821300.0,513.7341195002484,1.0,True,False,514.8880004882812,490.40700073242186
0,2026-01-09,IBM,295.7699890136719,307.0,294.25,304.2200012207031,17232700.0,304.2200012207031,0.0,False,False,,
1,2026-01-16,IBM,302.6199951171875,312.80999755859375,297.0400085449219,305.6700134277344,23314100.0,292.6180145263672,0.0,True,False,,
2,2026-01-23,IBM,301.3500061035156,301.6000061035156,289.7900085449219,292.44000244140625,19429100.0,305.774801940918,-1.0,False,True,,
3,2026-01-30,IBM,293.1600036621094,319.8999938964844,291.260009765625,306.70001220703125,28537700.0,291.83469424438476,1.0,True,False,,
4,2026-02-06,IBM,307.510009765625,316.6400146484375,278.9599914550781,298.92999267578125,34032800.0,291.83469424438476,1.0,False,False,,
5,2026-02-13,IBM,295.9100036621094,297.7200012207031,256.6400146484375,262.3800048828125,35501300.0,282.04111232269287,-1.0,False,True,,
6,2026-02-20,IBM,259.20001220703125,261.1099853515625,253.50999450683594,257.1600036621094,18536200.0,275.74200139559935,-1.0,False,False,,
7,2026-02-27,IBM,254.3699951171875,255.19000244140625,220.72000122070312,240.2100067138672,55457700.0,260.5778049181488,-1.0,False,False,,
8,2026-03-06,IBM,235.6999969482422,260.3800048828125,233.77999877929688,258.8500061035156,35394700.0,260.5778049181488,-1.0,False,False,,
9,2026-03-13,IBM,255.3800048828125,258.0799865722656,244.7100067138672,246.27999877929688,24959200.0,260.5778049181488,-1.0,False,False,,
10,2026-03-20,IBM,247.8699951171875,258.2799987792969,241.77000427246094,241.77000427246094,32254900.0,260.5778049181488,-1.0,False,False,,
11,2026-03-27,IBM,246.5,251.35000610351562,233.75,236.33999633789062,21791900.0,256.0336892511944,-1.0,False,False,,
12,2026-04-03,IBM,237.8000030517578,248.2100067138672,236.1300048828125,248.16000366210938,16212500.0,256.0336892511944,-1.0,False,False,,
13,2026-04-10,IBM,248.13999938964844,250.0,230.50999450683594,230.75999450683594,21451600.0,249.74808648072332,-1.0,False,False,,
14,2026-04-17,IBM,233.6300048828125,255.64999389648438,231.6999969482422,253.47000122070312,23495400.0,233.89171850523962,1.0,True,False,,
15,2026-04-24,IBM,255.0,258.5,221.72999572753906,231.97999572753906,55047500.0,253.2774505987023,-1.0,False,True,,
16,2026-05-01,IBM,229.9499969482422,235.9499969482422,224.89999389648438,232.1999969482422,29532700.0,252.47270663746488,-1.0,False,False,,
17,2026-05-08,IBM,232.0,234.08999633789062,224.3800048828125,229.75999450683594,26716500.0,248.97643237264418,-1.0,False,False,,
18,2026-05-15,IBM,228.66000366210938,230.22999572753906,212.33999633789062,219.3000030517578,33144300.0,238.38379706995008,-1.0,False,False,,
19,2026-05-22,IBM,218.5500030517578,264.3800048828125,216.77999877929688,253.83999633789062,61538300.0,231.90458111116604,1.0,True,False,268.8534996032715,246.7325012207031
20,2026-05-29,IBM,254.5500030517578,301.0,245.4499969482422,297.79998779296875,59445500.0,272.50311378374084,1.0,False,False,268.55349960327146,244.29250106811523
21,2026-06-05,IBM,322.54998779296875,332.4599914550781,281.07000732421875,284.8399963378906,86135100.0,272.50311378374084,1.0,False,False,269.5359992980957,243.49400100708007
22,2026-06-12,IBM,286.44000244140625,290.5,266.5,272.239990234375,34602800.0,299.75555675362693,-1.0,False,True,268.9809989929199,242.329500579834
23,2026-06-19,IBM,272.0,276.6199951171875,243.67999267578125,249.10000610351562,34253100.0,277.15801621498304,-1.0,False,False,266.8169990539551,239.95049972534179
24,2026-06-26,IBM,248.42999267578125,273.1400146484375,243.80999755859375,271.6300048828125,51692000.0,277.15801621498304,-1.0,False,False,264.6419990539551,238.19300003051757
25,2026-07-03,IBM,274.29998779296875,294.489990234375,269.05999755859375,289.5199890136719,26772500.0,261.6103000177192,1.0,True,False,264.48049850463866,238.8139991760254
0,2026-01-09,CRWD,114.65750122070312,121.63749694824219,112.82250213623047,117.65249633789062,55103600.0,117.65249633789062,0.0,False,False,,
1,2026-01-16,CRWD,115.0625,119.25,110.90374755859375,113.47000122070312,58640000.0,122.2381217956543,0.0,False,True,,
2,2026-01-23,CRWD,110.75650024414062,114.71499633789062,109.7925033569336,113.12249755859375,36815200.0,121.5060553741455,0.0,False,False,,
3,2026-01-30,CRWD,113.49749755859375,121.80000305175781,107.84750366210938,110.35124969482422,59999200.0,119.29170166778565,0.0,False,False,,
4,2026-02-06,CRWD,110.0,111.80999755859375,93.62999725341797,98.875,86551200.0,108.73940680618287,0.0,False,False,,
5,2026-02-13,CRWD,99.04624938964844,108.2125015258789,96.5634994506836,107.41000366210938,61810400.0,108.73940680618287,0.0,False,False,,
6,2026-02-20,CRWD,105.89800262451172,107.97000122070312,96.77749633789062,97.1500015258789,70168000.0,107.30783171393585,0.0,False,False,,
7,2026-02-27,CRWD,96.23999786376953,96.27749633789062,85.68000030517578,92.99500274658203,156954000.0,103.2840500379036,0.0,False,False,,
8,2026-03-06,CRWD,93.9749984741211,108.42749786376953,91.99749755859375,107.24749755859375,121550400.0,96.34435496588677,1.0,True,False,,
9,2026-03-13,CRWD,106.39375305175781,113.0,106.37999725341797,110.44499969482422,58639200.0,99.97017108672972,1.0,False,False,,
10,2026-03-20,CRWD,110.74749755859375,110.87999725341797,100.90249633789062,102.25,83473200.0,99.97017108672972,1.0,False,False,,
11,2026-03-27,CRWD,102.76499938964844,104.35749816894531,90.45175170898438,92.3949966430664,75436000.0,103.16815754401651,-1.0,False,True,,
12,2026-04-03,CRWD,94.89250183105469,100.19999694824219,94.09750366210938,99.77999877929688,45869200.0,103.16815754401651,-1.0,False,False,,
13,2026-04-10,CRWD,101.25,112.4749984741211,91.11750030517578,94.75499725341797,101236800.0,103.16815754401651,-1.0,False,False,,
14,2026-04-17,CRWD,95.0250015258789,107.95999908447266,94.5625,105.98750305175781,65436000.0,94.23973898659361,1.0,True,False,,
15,2026-04-24,CRWD,105.63500213623047,116.98750305175781,104.25499725341797,112.03250122070312,59783200.0,100.18626298222136,1.0,False,False,,
16,2026-05-01,CRWD,113.38749694824219,115.92250061035156,108.13749694824219,113.91000366210938,40198000.0,102.46988888126485,1.0,False,False,,
17,2026-05-08,CRWD,114.2249984741211,132.22874450683594,113.8499984741211,131.9425048828125,63052800.0,119.80852697678094,1.0,False,False,,
18,2026-05-15,CRWD,130.94500732421875,149.5625,130.5,148.52000427246094,63259600.0,135.69317415703253,1.0,False,False,,
19,2026-05-22,CRWD,147.37374877929688,168.7100067138672,146.84249877929688,165.86500549316406,75890400.0,152.13410759582146,1.0,False,False,117.11918678283692,104.35557441711425
20,2026-05-29,CRWD,166.25,182.87249755859375,158.2725067138672,182.75,50156400.0,167.932192807919,1.0,False,False,120.18093681335449,106.6280746459961
21,2026-06-05,CRWD,183.95249938964844,196.4149932861328,167.52499389648438,167.7550048828125,106843200.0,183.98003129465025,-1.0,False,True,124.03918647766113,109.45913696289062
22,2026-06-12,CRWD,168.37625122070312,175.54249572753906,154.43499755859375,170.6999969482422,61801200.0,183.98003129465025,-1.0,False,False,127.08056144714355,111.69126167297364
23,2026-06-19,CRWD,173.16749572753906,175.21749877929688,165.22999572753906,171.21499633789062,48670800.0,183.98003129465025,-1.0,False,False,129.7514362335205,114.56038627624511
24,2026-06-26,CRWD,171.2675018310547,178.0449981689453,165.5,175.2725067138672,55607200.0,183.98003129465025,-1.0,False,False,133.06318626403808,118.15388641357421
25,2026-07-03,CRWD,177.375,199.52999877929688,176.02999877929688,193.97999572753906,55675500.0,177.43223249327576,1.0,True,False,137.629061126709,122.12721138000488
0,2026-01-09,SCHW,101.73999786376953,104.76000213623047,100.13999938964844,100.16999816894531,37184300.0,100.16999816894531,0.0,False,False,,
1,2026-01-16,SCHW,100.23999786376953,104.9800033569336,99.5999984741211,103.81999969482422,41707700.0,99.12399673461914,0.0,True,False,,
2,2026-01-23,SCHW,102.30999755859375,105.80999755859375,99.69000244140625,102.18000030517578,53110000.0,99.12399673461914,0.0,False,False,,
3,2026-01-30,SCHW,102.5199966430664,104.9800033569336,102.25,103.91999816894531,45095100.0,99.28543590545654,0.0,False,False,,
4,2026-02-06,SCHW,103.7300033569336,105.72000122070312,101.56999969482422,105.08000183105469,51260600.0,100.4938956413269,0.0,False,False,,
